"Var1" "Freq"
"1" "1103" 424
"2" "1107" 69
"3" "1108" 125
"4" "1109" 136
"5" "1112" 68
"6" "1113" 412
"7" "1117" 280
"8" "1126" 249
"9" "1132" 615
"10" "1135" 223
"11" "1136" 922
"12" "1137" 421
"13" "1138" 182
"14" "1139" 680
"15" "1141" 85
"16" "1147" 76
"17" "1149" 6
"18" "1151" 62
"19" "1155" 44
"20" "1157" 46
"21" "1158" 133
"22" "1159" 295
"23" "1161" 35
"24" "1165" 11
"25" "1167" 41
"26" "1172" 4
"27" "1175" 249
"28" "1176" 111
"29" "1180" 237
"30" "1181" 156
"31" "1182" 97
"32" "2107" 14
"33" "2108" 54
"34" "2110" 15
"35" "2111" 90
"36" "2112" 45
"37" "2113" 152
"38" "2114" 40
"39" "2116" 11
"40" "3007" 345
"41" "3011" 2
"42" "3012" 399
"43" "3013" 374
"44" "3014" 572
"45" "3015" 10
"46" "3018" 231
"47" "3019" 135
"48" "3020" 90
"49" "3021" 92
"50" "3022" 130
"51" "3023" 227
"52" "3024" 312
"53" "3026" 44
"54" "3028" 368
"55" "3029" 3
"56" "3031" 0
"57" "3032" 106
"58" "3035" 26
"59" "3037" 19
"60" "1101" 0
"61" "1102" 0
"62" "1104" 0
"63" "1105" 0
"64" "1106" 0
"65" "1110" 0
"66" "1111" 0
"67" "1114" 0
"68" "1115" 0
"69" "1116" 0
"70" "1118" 0
"71" "1119" 0
"72" "1120" 0
"73" "1122" 0
"74" "1123" 0
"75" "1125" 0
"76" "1127" 0
"77" "1128" 0
"78" "1129" 0
"79" "1130" 0
"80" "1131" 0
"81" "1133" 0
"82" "1142" 0
"83" "1143" 0
"84" "1146" 0
"85" "1150" 0
"86" "1152" 0
"87" "1153" 0
"88" "1154" 0
"89" "1156" 0
"90" "1160" 0
"91" "1162" 0
"92" "1163" 0
"93" "1164" 0
"94" "1166" 0
"95" "1168" 0
"96" "1169" 0
"97" "1170" 0
"98" "1171" 0
"99" "1173" 0
"100" "1174" 0
"101" "1178" 0
"102" "1179" 0
"103" "2101" 0
"104" "2102" 0
"105" "2103" 0
"106" "2104" 0
"107" "2105" 0
"108" "2106" 0
"109" "2109" 0
"110" "2115" 0
"111" "2117" 0
"112" "2118" 0
"113" "2120" 0
"114" "2121" 0
"115" "2122" 0
"116" "2123" 0
"117" "2124" 0
"118" "3001" 0
"119" "3002" 0
"120" "3003" 0
"121" "3004" 0
"122" "3005" 0
"123" "3006" 0
"124" "3008" 0
"125" "3009" 0
"126" "3010" 0
"127" "3016" 0
"128" "3017" 0
"129" "3025" 0
"130" "3027" 0
"131" "3030" 0
"132" "3033" 0
"133" "3034" 0
"134" "3039" 0
